,Unnamed: 0.1,Unnamed: 0,repository,topic,open_issues_count,open_issues,pushed_at,updated_at,created_at,fork_count,stargazer_count,description,fork,language
1214,4799,4799,wu-hongjun/Hackintosh-Thinkpad-X1-Extreme,[],7.0,7.0,2020-08-28T20:37:13Z,2022-05-29T15:11:05Z,2018-10-27T23:15:15Z,54.0,282.0,[Hackintosh] Configuration for Lenovo Thinkpad X1 Extreme Gen I.,False,Rich Text Format
1215,4815,4815,open-mmlab/mmdetection,"['cascade-rcnn', 'fast-rcnn', 'faster-rcnn', 'instance-segmentation', 'mask-rcnn', 'object-detection', 'pytorch', 'retinanet', 'rpn', 'ssd']",570.0,570.0,2022-06-03T19:23:16Z,2022-06-04T12:42:32Z,2018-08-22T07:06:06Z,7311.0,19928.0,OpenMMLab Detection Toolbox and Benchmark,False,Python
1216,4822,4822,dwmkerr/sharpshell,[],77.0,77.0,2022-05-02T11:24:36Z,2022-06-04T05:00:23Z,2013-09-13T16:12:14Z,224.0,1178.0,SharpShell makes it easy to create Windows Shell Extensions using the .NET Framework.,False,C#
1217,4833,4833,jakartaee/jakartaone.org,"['hugo', 'webdev']",10.0,10.0,2022-06-01T14:25:14Z,2022-04-13T07:20:45Z,2019-04-23T19:38:58Z,24.0,13.0,JakartaOne Live is a one day virtual conference for developers and technical business leaders that brings insights into the current state and future of Jakarta EE and related technologies focused on developing cloud-native Java applications. ,False,HTML
1218,4839,4839,justeat/httpclient-interception,"['c-sharp', 'dotnet', 'dotnet-core', 'httpclient', 'netstandard']",8.0,8.0,2022-06-01T16:27:45Z,2022-05-31T13:44:54Z,2017-06-25T08:47:16Z,14.0,190.0,A .NET library for intercepting server-side HTTP requests,False,C#
1219,4840,4840,jazzband/geojson,"['geojson', 'python']",23.0,23.0,2022-05-20T14:35:40Z,2022-05-30T15:30:51Z,2011-07-01T20:39:48Z,95.0,721.0,Python bindings and utilities for GeoJSON,False,Python
1220,4841,4841,gesellix/couchdb-prometheus-exporter,"['couchdb', 'exporter', 'hacktoberfest', 'prometheus']",9.0,9.0,2022-06-02T18:42:04Z,2022-05-11T03:18:40Z,2015-05-14T20:11:02Z,20.0,45.0,CouchDB stats exporter for Prometheus,False,Go
1221,4842,4842,compiler-explorer/compiler-explorer,"['assembly', 'c-plus-plus', 'compiler', 'cpp', 'dlang', 'go', 'hacktoberfest', 'haskell', 'ispc', 'rust', 'rust-lang', 'swift']",501.0,501.0,2022-06-03T23:23:04Z,2022-06-03T19:52:45Z,2012-05-23T01:31:17Z,1242.0,10823.0,Run compilers interactively from your web browser and interact with the assembly,False,JavaScript
1222,4843,4843,dpgmediamagazines/django-arctic,"['arctic', 'cms', 'django', 'framework']",28.0,28.0,2022-06-02T10:12:13Z,2022-01-09T14:28:03Z,2016-05-12T13:44:28Z,22.0,69.0,Django Arctic is a framework that simplifies the creation of custom content management systems.,False,Python
1223,4845,4845,containers/podman,[],251.0,251.0,2022-06-04T11:07:32Z,2022-06-04T13:58:23Z,2017-11-01T15:01:27Z,1449.0,14036.0,Podman: A tool for managing OCI containers and pods.,False,Go
1224,4850,4850,ropensci/rentrez,"['r', 'r-package', 'rstats']",32.0,32.0,2021-08-26T17:15:09Z,2022-05-04T00:15:04Z,2012-02-11T23:44:24Z,40.0,167.0,talk with NCBI entrez using R,False,R
1225,4851,4851,bluejekyll/trust-dns,"['dns', 'dns-client', 'dns-server', 'dnssec', 'dynamic-dns', 'rust', 'rust-lang', 'trust-dns']",170.0,170.0,2022-06-03T20:47:50Z,2022-06-03T10:05:25Z,2015-08-08T02:47:12Z,268.0,2338.0,"A Rust based DNS client, server, and resolver",False,Rust
1226,4855,4855,panthernet/ThunderED,[],10.0,10.0,2022-03-23T11:52:12Z,2022-05-03T09:04:49Z,2018-04-26T12:44:02Z,27.0,51.0,Thunder EVE ONLINE CMS,False,C#
1227,4857,4857,getsentry/sentry,"['apm', 'crash-reporting', 'crash-reports', 'csp-report', 'devops', 'django', 'error-logging', 'error-monitoring', 'hacktoberfest', 'monitor', 'monitoring', 'python', 'sentry']",539.0,539.0,2022-06-04T03:07:38Z,2022-06-04T13:04:44Z,2010-08-30T22:06:41Z,3476.0,31021.0,"Sentry is cross-platform application monitoring, with a focus on error reporting.",False,Python
1228,4859,4859,cntt-n/CNTT,"['cloud', 'cntt', 'containers', 'edge-computing', 'infrastructure', 'kubernetes', 'nfv', 'nfv-platform', 'openstack', 'sdn', 'sdn-network']",204.0,204.0,2022-06-04T07:58:18Z,2022-03-28T16:10:20Z,2019-06-18T13:26:21Z,113.0,117.0,CNTT,False,Ruby
1229,4861,4861,KhronosGroup/Vulkan-Docs,[],257.0,257.0,2022-06-02T12:26:44Z,2022-06-03T02:58:08Z,2016-02-11T10:03:55Z,385.0,2200.0,The Vulkan API Specification and related tools,False,JavaScript
1230,4864,4864,jrnl-org/jrnl,"['cli', 'command-line', 'encrypted', 'journal', 'journal-application', 'jrnl', 'note-taking', 'notes', 'productivity', 'python', 'shell']",115.0,115.0,2022-05-29T15:03:05Z,2022-06-03T19:16:44Z,2012-03-29T17:23:58Z,482.0,5398.0,Collect your thoughts and notes without leaving the command line.,False,Python
1231,4865,4865,YarnSpinnerTool/YarnSpinner,"['dialogue-manager', 'game', 'game-development', 'language', 'unity', 'unity-game']",17.0,17.0,2022-05-10T01:42:47Z,2022-06-04T12:59:39Z,2015-10-03T23:16:59Z,172.0,1656.0,Yarn Spinner is a tool for building interactive dialogue in games!,False,C#
