,Unnamed: 0.1,Unnamed: 0,repository,topic,open_issues_count,open_issues,pushed_at,updated_at,created_at,fork_count,stargazer_count,description,fork,language
3,8,8,ycm-core/YouCompleteMe,"['code-analysis', 'code-completion', 'semantic-engine', 'vim']",11.0,11.0,2022-04-04T16:29:57Z,2022-06-04T13:24:58Z,2012-04-16T03:12:14Z,2768.0,23996.0,A code-completion engine for Vim,False,Python
300,1148,1148,linkerd/linkerd,"['cloud-native', 'linkerd', 'service-discovery', 'service-mesh']",144.0,144.0,2022-06-01T16:11:28Z,2022-05-27T10:36:37Z,2016-01-13T22:14:52Z,526.0,5380.0,Old repo for Linkerd 1.x. See the linkerd2 repo for Linkerd   2.x.,False,Scala
3000,12860,12861,martykan/forecastie,"['android', 'openweathermap']",103.0,103.0,2022-03-29T00:34:34Z,2022-05-30T15:14:08Z,2015-12-24T13:44:16Z,323.0,752.0,"A simple, opensource weather app for Android.",False,Java
20000,173252,173283,narrowspark/http-emitter,"['emitter', 'http', 'http-emitter', 'library', 'narrowspark', 'php', 'psr-7', 'sapi', 'stream', 'swoole']",13.0,13.0,2022-05-15T22:26:20Z,2022-02-13T22:56:11Z,2017-04-03T15:45:05Z,10.0,31.0,:satellite: Emitting psr-7 responses.,False,PHP
2500,10496,10497,abhivaikar/howtheytest,"['companies', 'culture', 'knowledge', 'knowledge-sharing', 'quality', 'quality-engineering', 'software-quality', 'software-testing', 'test-engineering', 'testing', 'testing-practices']",4.0,4.0,2022-05-03T03:44:10Z,2022-06-03T23:12:36Z,2020-03-24T09:07:10Z,327.0,4217.0,A collection of public resources about how software companies test their software,False,HTML
2600,10917,10918,dotnet/roslyn-analyzers,[],709.0,709.0,2022-06-02T23:25:09Z,2022-06-03T16:11:29Z,2015-06-05T17:48:07Z,382.0,1231.0,,False,C#
1900,8004,8004,Sparklytical/Infinity-react-boilerplate,[],29.0,29.0,2022-05-15T19:47:26Z,2022-04-27T03:19:28Z,2019-11-20T20:12:50Z,10.0,33.0,"A highly scalable, offline-first foundation with the best DX and a focus on performance and best practices",False,JavaScript
45,129,129,casper-astro/mlib_devel,[],4.0,4.0,2022-04-27T09:46:34Z,2022-03-28T12:58:52Z,2011-11-08T00:11:29Z,74.0,44.0,,False,VHDL
260,975,975,sdslabs/Rubeus,"['cpp', 'cpp17', 'cross-platform', 'engine', 'game', 'game-development', 'opengl', 'sdslabs']",23.0,23.0,2021-03-22T23:00:44Z,2022-05-29T14:57:35Z,2018-05-22T04:00:10Z,12.0,179.0,A cross platform 2D game engine written in C++ for beginners,False,C++
10000,50208,50216,libp2p/py-libp2p,[],60.0,60.0,2022-04-01T19:54:58Z,2022-06-01T10:45:30Z,2018-09-17T05:20:41Z,83.0,342.0,The Python implementation of the libp2p networking stack 🐍 [under development],False,Python
10567,53556,53565,coreos/coreos-assembler,"['buildsystem', 'coreos', 'fedora']",141.0,141.0,2022-06-03T19:17:02Z,2022-05-30T23:29:00Z,2018-05-18T20:07:27Z,130.0,244.0,Tooling container to assemble CoreOS-like systems,False,Go
345,1341,1341,xipki/xipki,"['ca', 'ca-browser-forum', 'certificate', 'certificate-authority', 'certificate-transparency', 'certification-authority', 'cmp', 'crl', 'hsm', 'java', 'ocsp', 'ocsp-responder', 'pkcs11', 'pki', 'rest-api', 'rfc2560', 'rfc5280', 'rfc6960', 'scep']",1.0,1.0,2022-05-30T18:41:52Z,2022-05-29T08:06:00Z,2014-03-29T20:16:04Z,98.0,380.0,Highly scalable and high-performance open source PKI (CA and OCSP responder). Minimal dependencies.,False,Java
30,91,91,nextcloud/desktop,"['c-plus-plus', 'cpp', 'desktop', 'hacktoberfest', 'nextcloud', 'nextcloud-desktop-client']",677.0,677.0,2022-06-04T04:21:16Z,2022-06-03T08:08:53Z,2017-09-27T11:38:04Z,602.0,2053.0,💻 Desktop sync client for Nextcloud,False,C++
3590,15584,15586,phg98/hacktoberfestkorea,"['hacktoberfest', 'korea', 'korean', 'korean-repo']",4.0,4.0,2022-04-03T06:27:33Z,2021-12-29T15:22:13Z,2020-09-27T11:37:19Z,60.0,39.0,Hacktoberfest Korea site,False,HTML
10496,53253,53262,containers/image,[],104.0,104.0,2022-06-03T12:35:20Z,2022-06-03T04:52:12Z,2016-06-22T17:46:41Z,289.0,644.0,Work with containers' images,False,Go
10294,52097,52105,ImmoweltGroup/create-react-microservice,"['create-react-app', 'hypernova', 'microservice', 'mono-repo', 'react', 'scaffold']",62.0,62.0,2022-06-04T04:11:43Z,2022-05-26T18:41:44Z,2017-11-10T10:31:26Z,17.0,145.0,🚀 Create highly scalable and universal React microservices/applications within seconds.,False,JavaScript
5329,25847,25851,doris-vectorized/doris-vectorized,[],16.0,16.0,2021-12-30T11:21:18Z,2022-04-23T14:28:05Z,2021-04-05T06:02:36Z,35.0,48.0,,False,C++
12053,84378,84393,prisma/ecosystem-tests,[],136.0,136.0,2022-06-04T10:27:25Z,2022-05-31T17:59:53Z,2019-12-13T13:50:51Z,15.0,118.0,"🥼🧬🧪🔬🧫🦠 - Continuously tests Prisma Client with various operating systems, frameworks, platforms, databases and more.",False,Shell
4000,17676,17678,jazzband/django-redis,[],32.0,32.0,2022-05-29T11:00:23Z,2022-06-03T18:32:38Z,2012-04-17T16:29:49Z,381.0,2349.0,Full featured redis cache backend for Django.,False,Python
21400,193895,193930,btzr-io/jelly-beats,"['dapp', 'electron', 'lbry', 'music', 'podcasts', 'react']",49.0,49.0,2020-12-14T06:52:46Z,2022-04-18T10:18:28Z,2017-07-21T18:12:45Z,30.0,70.0,A decentralized music and podcasts streaming platform,False,JavaScript
