,Unnamed: 0.1,Unnamed: 0,repository,topic,open_issues_count,open_issues,pushed_at,updated_at,created_at,fork_count,stargazer_count,description,fork,language
21672,197046,197082,w3c/orientation-sensor,['sensors'],3.0,3.0,2021-09-02T05:51:05Z,2022-03-22T23:22:21Z,2017-03-06T13:14:35Z,20.0,12.0,Orientation Sensor,False,HTML
21673,197047,197083,w3c/screen-wake-lock,[],8.0,8.0,2022-05-30T13:33:10Z,2022-05-23T18:50:44Z,2014-05-23T13:57:31Z,32.0,77.0,Screen Wake Lock API,False,HTML
21674,197048,197084,w3c/pointerlock,[],19.0,19.0,2021-11-17T04:19:58Z,2021-12-23T15:35:57Z,2015-08-04T15:05:57Z,17.0,16.0,Pointer Lock,False,HTML
21675,197049,197085,w3c/svgwg,[],333.0,333.0,2022-05-26T21:16:11Z,2022-06-04T15:09:35Z,2014-08-23T11:19:28Z,130.0,593.0,SVG Working Group specifications,False,HTML
21676,197050,197086,w3c/sensors,['sensors'],52.0,52.0,2022-06-03T15:02:16Z,2021-12-20T09:22:36Z,2014-11-14T10:42:31Z,58.0,124.0,Generic Sensor API,False,HTML
21677,197052,197088,w3c/webrtc-pc,"['specification', 'webrtc']",29.0,29.0,2022-06-03T11:13:55Z,2022-05-14T23:30:27Z,2014-08-27T09:39:00Z,129.0,388.0,WebRTC 1.0 API,False,HTML
21678,197056,197092,w3c/webappsec-credential-management,[],78.0,78.0,2022-04-27T14:29:34Z,2022-05-30T09:44:31Z,2015-10-01T10:33:02Z,39.0,47.0,WebAppSec Credential Management,False,HTML
21679,197057,197093,w3c/geolocation-sensor,[],16.0,16.0,2022-03-16T00:20:13Z,2022-05-28T07:57:23Z,2017-09-13T17:45:03Z,18.0,55.0,Geolocation Sensor,False,HTML
21680,197059,197095,w3c/FileAPI,[],43.0,43.0,2021-06-04T10:17:51Z,2022-04-03T03:22:19Z,2015-04-13T08:01:02Z,48.0,83.0,File API,False,HTML
21681,197060,197096,w3c/webappsec-clear-site-data,[],32.0,32.0,2021-02-17T17:29:04Z,2022-02-28T08:11:39Z,2015-09-30T10:45:46Z,20.0,14.0,WebAppSec Clear Site Data,False,HTML
21682,197061,197097,w3c/resource-hints,[],21.0,21.0,2021-02-03T14:14:19Z,2022-05-15T22:04:11Z,2014-09-25T18:40:38Z,23.0,77.0,Resource Hints,False,HTML
21683,197065,197101,w3c/server-timing,[],13.0,13.0,2022-04-21T13:04:04Z,2022-04-21T13:04:03Z,2014-12-11T15:50:40Z,26.0,69.0,Server Timing,False,HTML
21684,197069,197105,w3c/mediacapture-output,['webrtc'],16.0,16.0,2022-03-14T17:09:44Z,2022-04-08T05:53:55Z,2014-10-30T17:29:42Z,20.0,21.0,API to manage the rendering of audio on any audio output device,False,HTML
