,Unnamed: 0.1,Unnamed: 0,repository,topic,open_issues_count,open_issues,pushed_at,updated_at,created_at,fork_count,stargazer_count,description,fork,language
3,7.0,7.0,sympy/sympy,"['computer-algebra', 'hacktoberfest', 'math', 'python', 'science']",4448.0,4448.0,2022-06-03T17:02:41Z,2022-06-04T08:16:44Z,2010-04-30T20:37:14Z,3669.0,9282.0,A computer algebra system written in pure Python,False,Python
300,959.0,959.0,cypress-io/cypress,"['cypress', 'e2e-testing', 'e2e-tests', 'end-to-end-testing', 'javascript-tests', 'test', 'test-automation', 'test-runner', 'test-suite', 'testing', 'testing-tools', 'tests']",2543.0,2543.0,2022-06-04T11:52:53Z,2022-06-04T13:56:09Z,2015-03-04T00:46:28Z,2367.0,38711.0,"Fast, easy and reliable testing for anything that runs in a browser.",False,JavaScript
3000,11113.0,11114.0,mono/mono-upnp,[],5.0,5.0,2020-04-08T04:01:59Z,2021-09-06T07:19:34Z,2010-07-22T16:36:09Z,42.0,81.0,UPNP binding for Mono/.NET,False,C#
20000,152520.0,152548.0,JMPerez/spotify-web-api-js,"['api', 'spotify', 'spotify-api', 'spotify-library', 'spotify-sdk', 'spotify-web-api', 'spotify-webapi', 'wrapper']",16.0,16.0,2022-04-28T07:42:18Z,2022-06-04T13:46:06Z,2014-04-15T21:24:14Z,230.0,1613.0,A client-side JS wrapper for the Spotify Web API,False,TypeScript
2500,9388.0,9388.0,cucumber/godog,"['functional-testing', 'gherkin', 'golang', 'integration-testing']",46.0,46.0,2022-05-30T15:11:11Z,2022-06-03T11:27:22Z,2015-06-10T13:16:31Z,182.0,1677.0,Cucumber for golang,False,Go
2600,9760.0,9760.0,agraef/purr-data,"['computer-music', 'dataflow-programming', 'multimedia', 'pd-l2ork', 'pure-data', 'purr-data']",4.0,4.0,2022-05-15T00:55:20Z,2022-05-25T02:37:50Z,2017-03-14T07:50:52Z,61.0,484.0,Purr Data - Jonathan Wilkes' cross-platform Pd-l2ork version,False,C
1900,6818.0,6818.0,ropensci/Rclean,[],15.0,15.0,2021-12-17T13:24:10Z,2022-05-19T01:25:50Z,2017-09-06T18:45:59Z,13.0,91.0,Isolate essential code to re-produce specific results.,False,R
45,113.0,113.0,Rezonality/zep,"['direct3d', 'editor', 'game-development', 'gap-buffer', 'imgui', 'mini-editor', 'notepad', 'opengl', 'qt', 'qt6', 'sdl', 'syntax-highlighting', 'text', 'text-editor', 'vim', 'vim-mode']",14.0,14.0,2022-05-19T09:49:27Z,2022-06-03T07:58:53Z,2017-10-25T16:44:25Z,45.0,620.0,"Zep - An embeddable editor, with optional support for using vim keystrokes. ",False,C++
260,792.0,792.0,mapbox/mapbox-gl-js,"['geojson', 'javascript', 'map', 'mapbox', 'mapbox-gl', 'mapbox-gl-js', 'monorepo', 'openstreetmap', 'vector-tiles', 'webgl']",999.0,999.0,2022-06-04T00:12:43Z,2022-06-03T19:27:56Z,2013-03-07T14:45:24Z,1953.0,8626.0,"Interactive, thoroughly customizable maps in the browser, powered by vector tiles and WebGL",False,JavaScript
10000,44269.0,44276.0,sergiodxa/next-nprogress,"['higher-order-component', 'hoc', 'nextjs', 'nprogress', 'progress-bar', 'react', 'reactjs']",0.0,0.0,2019-08-10T14:59:36Z,2022-05-09T13:03:07Z,2018-06-21T22:38:51Z,15.0,150.0,Next.js HOC to integrate NProgress inside your app,False,JavaScript
10567,46675.0,46682.0,openedx/frontend-app-payment,[],20.0,20.0,2022-06-01T16:21:46Z,2022-05-04T14:56:37Z,2019-05-06T19:48:45Z,15.0,3.0,,False,JavaScript
345,1127.0,1127.0,earthlab/earthpy,"['education', 'python', 'raster', 'spatial-data', 'vector']",26.0,26.0,2022-06-03T00:37:57Z,2022-06-01T22:10:51Z,2018-02-20T03:02:42Z,142.0,369.0,A package built to support working with spatial data using open source python,False,Python
30,85.0,85.0,googleapis/nodejs-bigquery-data-transfer,[],1.0,1.0,2022-05-18T17:11:33Z,2022-04-15T06:32:14Z,2017-11-22T17:52:08Z,14.0,11.0,"Google BigQuery Data Transfer Service transfers data from partner SaaS applications to Google BigQuery on a scheduled, managed basis.",False,TypeScript
3590,13602.0,13603.0,swift-extras/swift-extras-json,"['json', 'swift', 'swift-json', 'swift-server']",10.0,10.0,2021-01-12T21:34:32Z,2022-05-22T17:03:00Z,2020-02-21T08:17:15Z,14.0,342.0,JSON encoding and decoding without the use of Foundation in pure Swift.,False,Swift
10496,46373.0,46380.0,uzh-bf/klicker-uzh,"['classroom-interaction', 'helm-chart', 'instant-class-response', 'klicker-uzh', 'nextjs', 'university-of-zurich']",7.0,7.0,2022-06-03T01:03:04Z,2022-05-23T15:53:10Z,2017-05-16T11:39:56Z,11.0,26.0,The KlickerUZH Instant-Class-Response-System,False,TypeScript
10294,45549.0,45556.0,canonical-web-and-design/cn.ubuntu.com,['website'],1.0,1.0,2022-06-01T16:33:57Z,2022-02-17T15:42:59Z,2015-06-17T09:20:01Z,28.0,3.0,Codebase for chinese marketing site powered by Django,False,HTML
5329,22065.0,22068.0,merico-dev/build,[],2.0,2.0,2021-06-29T23:35:38Z,2022-05-30T11:56:58Z,2021-05-19T20:51:52Z,27.0,490.0,"Merico Build is a web app empowering open source developers, maintainers, and communities with metrics from Git, GitHub, and more.",False,
12053,54313.0,54322.0,getindiekit/indiekit,"['indieweb', 'micropub', 'micropub-endpoint']",27.0,27.0,2022-06-03T23:00:25Z,2022-05-26T09:14:20Z,2019-02-13T22:00:14Z,20.0,155.0,The little server that connects your website to the independent web.,False,JavaScript
4000,15239.0,15241.0,CERN/TIGRE,"['cuda', 'gpus', 'image-reconstruction', 'matlab', 'python', 'tigre', 'tomography', 'toolbox', 'x-ray']",60.0,60.0,2022-05-24T11:46:58Z,2022-06-03T15:54:39Z,2016-06-13T12:22:21Z,134.0,300.0,TIGRE: Tomographic Iterative GPU-based Reconstruction Toolbox,False,MATLAB
21400,158957.0,158986.0,solid/vocab,['specification'],25.0,25.0,2022-05-26T12:23:08Z,2022-02-06T16:00:20Z,2015-12-05T10:59:37Z,11.0,35.0,Solid vocabularies,False,
